,comment_text,label,party
0,"Lib Dems, just following the band wagon. Never leading with new ideas, or initiatives to make the party stand out. Very disappointing.😒",0,libdems
1,"Intimidation, persistent aggression in workplace relationships, abuse of misuse of power is very common even in company’s trying to be conformist with government toxic emotional bankruptcy. The level of covering all this above gross misconducts by powerful individuals in big companies is disgusting. Even I have had gathered many evidence of this on big projects but for 3 years all my whistleblowing was left with no ground and eventually I was a victim of distress by people at power. Only my family and LibDem’s has been helping me 🧡",2,libdems
2,I like watching him in the House of Commons With his smarmy little sneggering face Like a childish little schoolboy. This is what happens when s💩t heads get into power,0,libdems
3,"🔶🟡 Raab resigns: By-election now
🟡 Dominic Raab has shown he is not only unfit to serve as a Minister but is totally unfit to represent his constituents in Parliament. He should resign as an MP and trigger a by-election so the people of Esher and Walton can finally have the MP they deserve.
🟡 Voters across Surrey and the Blue Wall are fed up with this endless Conservative chaos and MPs who take their communities for granted. At the next election in Esher and Walton, it will be a two horse race between more Conservative party chaos or a hardworking Liberal Democrat MP who will listen and stand up for local people.”",0,libdems
4,Now where are all the Brexit party fish lovers 🤫. Putin knee benders the lot of them.,0,libdems
5,"Good things come to those who believe, better things come to those who are patient, and the best things come to those who don't give up. All thanks and appreciation goes to Harris Gregory for the help towards my success, I'm really lucky I met him at the right time when i was struggling with my financial situation he rescue me and my family from debts and we are able to pay our bills. God bless you and your trading platform. Reach out to him below
⬇️⬇️⬇️⬇️
Harris Gregory",2,libdems
7,A plan 👏💚♥️💛,2,libdems
8,Brexit the gift that keeps giving 😩,0,libdems
9,"Freedom to dump 💩 in the English river system. All for 💰💰. Then underfunded all council operated public baths. Let's make all our children learn maths until they are 18. Now which movement in the last century was obsessed with numbers. All they saw was numbers , and they loved a relocation camp or two as well. Maybe we should make our children learn history until they are 16.",0,libdems
10,"The 1995
Nolan principles
7 in total

1.) The seven principles of public life apply to anyone who works as a public office holder

Selflessness

1.1) Holders of public office should act solely interns of the publics interest ❌

1.2) integrity

Holders of public offices must avoid placing themselves under obligation to people or organisations that might try inappropriately
to influence them in their work
They should not act or take decisions in order to gain financially❌

Objectivity
1.3)Holders of public office must act and take decisions impartially ,fairly
and on merits ❌

1.4)Accountabil
ity
Holders of public office are accountable to the public unless a lawful reason for doing so❌

1.5) openness
Holders of a public office should be open and transparent unless a lawful reason for doing so ❌

1.6)Honesty
Holders of public office should be truthful ❌

1.7) leadership
Holders of public office should exhibit these principles in their own behaviour and treat others with respect . They should actively promote and robustly support the principles and challenge poor behaviour wherever it occurs❌

#FAILED",0,libdems
11,Ofgem boss is a complete C#NT...along with the conservatives🤬😡🤬😡,0,libdems
12,I wouldn't bother finding anyone your pretty irrelevant 😀😀😀😀,0,libdems
13,"If they didn't have to investigate so many complaints that a FB post caused offence, or a dolly in a pub made some little mommy's darling cry while he was having a glass of warm milk, then perhaps they could investigate crime. But hey, liberal feelings matter 🥴",0,libdems
14,No LibDems standing in Stockton 🤷🏻‍♀️,1,libdems
15,🤣😂🤣😂🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧,1,libdems
16,"🔶🟡NHS Waiting Lists
🟡 : The number of people waiting for NHS treatment has risen to a new record high of 7.22 million.
🟡 : Rishi Sunak’s NHS pledge is already turning out to be yet another broken Conservative promise. They have let the NHS crisis spiral out of control, failing to deliver the new hospitals they promised and making people wait months or even years for treatment.
🟡 : We need an urgent rescue plan for the NHS. If patients could see their GP when they need to or get the care they need at home, it would free up hospital resources to treat people far more quickly.",0,libdems
