,comment_text,label,party
0,Yay! Does that mean you're ditching Blairite neoliberalism for Corbyn styled Democratic Socialism? 😉 ,2,labour
1,Didn't the tories just say they want to take the doctors pensions to force them to work longer into retirement 😂 ,0,conservatives
2,"This Government is ripping off British Tax payers money spending on terrorism, making British people suffer into poverty and force people pension age up by a year, now commit criminals offences by force elderly people to work. This government is sick and EVIL 😈  ",0,conservatives
3,The NHS has finished unfortunately. Very sad. 😭😭  ,0,labour
4,Rishi Sunak Conservatives stop halal cruelty in our country it’s offensive to the British people to have halal killings in our country we don’t want it it’s cruelty to animals i thought we tackled that a long time ago 🤔  ,0,conservatives
5,"Well thats Rishi, who nobody voted for, going against the public to throw away the next election, its like the conservatives do not want to be in power anymore 🤔  ",0,conservatives
6,Here's an idea open the Tips 24/7 and stop the inquisition every time someone takes something there in a vehicle bigger than a Smartcar 🙄  ,1,labour
7,Have you got the demographics to illustrate the words you use above ☝️  ,1,labour
8,"So paying 20% tax on every pound earned once going over the 12k threshold due to fiscal drag & a £40,000 pension boost to the better off is somehow somebody else's responsibility?
🤷 Announcing thing's that aren't actually in the budget are obviously of no use to people already paying through the nose for the highest energy costs in Europe.  ",1,conservatives
9,"I'm sure the former 'Well Paid' Longbridge Rover plant workers appreciate not having to drive to work on bumpy roads as they now walk to work in their minimum wage supermarket jobs . . . . . LOL.🤪 0

I suspect those who now live in the grossly overpriced rentier flats now on the site who can't afford a £200 'Highway Heap' off eBay due to hading 70% of their income to landlords on top of the 45% Neo-Fasfinancis
t Blairite poor tax rate appreciate your anti pothole campaign too . . . . .🧐🤔💩  ",0,labour
10,"The last refuge of the scoundrel is patriotism, but traditionally you are supposed to wrap yourself in your own flag! 😂  ",0,conservatives
11,And how many fines did the current PM and fellow cabinet ministers get for breach of Covid regulations ? 🤔 ,1,conservatives
12,Happy Tamil New Year to all celebrating 😊  ,2,labour
13,"How many major announcements has this pillock made this year 🤔, it’s too late you little squirt, all hot air & no substance. Give in, you are yesterdays man in yesterdays party 🙄  ",0,conservatives
14,Would have been there before you expelled me 🤷‍♀️  ,1,labour
15,"Well done 👏 ✔️.
Perhaps the recent disgusting attitude of the Labour Party can, given the chance, Passover  ",2,labour
16,"Why do some people put laughing emojis on this site, if they think Conservatives are a joke, don’t bother looking at this site , it’s not compulsory 😡 ",0,conservatives
17,"How is cutting local services in any way beneficial to anyone... we have worst gov, t ever and you lot of frauds doing a tribute act.... 🤔😔 ",0,labour
18,❤️🙏  ,2,conservatives
19,"😂that’s a bit rich coming from the Conservatives, who need to get their own house in order before casting aspersions elsewhere.  ",0,conservatives
20,"Happy International Romany Day, Bless up guys and gals 👧 😍 🙌 💖 ❤️ 🙏  ",2,labour
21,"So the government oversaw progressive cuts to police forces and the legal system for twelve years, and it’s everyone else’s fault….. gotcha👍 ",0,conservatives
22,Just another comic for a Prime Minister we don’t believe him do we children. 🙉🙉🙈🙊 ,0,conservatives
23,“Reforming pensions will keep more doctors in the NHS”=milking hard working taxpayers will enable us to give generous handouts to our highly paid friends 😄😄  ,0,conservatives
24,"I have no words, just hang my head in embarrassment that our government is a laughing stock and money pit for other countries… sadly no one any good to challenge them either🤬 ",0,conservatives
25,"No help for the hard working people that pay all this from raised taxes 🙄 your becoming like Labour give, give, give ",0,conservatives
26,💐  ,2,labour
27,"The OBR and Bank Of England predicted that inflation would reduce by 50% naturally in 2023, long before you grifters started trying to take credit for it.
Nice try though. 🤣👍#conartists  ",0,conservatives
28,"Labour really went from let's save the NHS and rebuild society to help the many, to this rubbish 🤣🤣 ",0,labour
29,"🔶🟡 Junior Doctors’ Strike:
Recall Parliament
🟡 Thousands of operations are set to be cancelled and patients’ lives could be put at risk because of the government’s failure to resolve the four-day junior doctors strike this week.
🟡 By refusing to talk to junior doctors, Steve Barclay is putting our NHS and thousands of patients at unnecessary risk. We need to recall Parliament so Conservative Ministers can be held to account over this sudden refusal to engage in talks.
🟡 The Government needs to get round the table immediately to resolve this impending crisis facing our NHS. NHS staff deserve a fair deal but this Health Secretary has slammed the door on urgent talks. ",1,libdems
30,🙏🙏  ,2,conservatives
31,Why do people in Scotland pay more for the standing charge than the rest of the UK? 🤡  ,0,labour
32,"🤣And this is what happens when the UK have deluded and incompetent political leaders.. Have they not worked out what's happening. The more money we give the French, they increase their numbers of police on the north coast and yet more boats keep coming.
Ask yourself why!
The police crackdown on crime in that area, and also make it hard for the migrants. This makes them more determined to get to the UK. But you would think that there would now be a shortage of small boats in the north of France? 🤔Not if UK money is also being sidelined to pay for the boats! Let's be honest, I would be very surprised if this is not happening because it solves the problems on the French side.
Macron has often openly voiced his distain for the UK on many occasions and he must be laughing so much at our desperation and stupidity for giving him so much of our tax payers money.
For Rishi to see this as a success just show why he should not be in office.  ",0,conservatives
33,🤣😂🤣😂More tory Bull***t  ,0,conservatives
34,Come and knock on my door. Dare you.😂  ,0,conservatives
35,You got to be having a laugh we have Bristol City Council who are Labour controlled and our council tax has gone up the full amount 😡😡😡😡😡  ,0,labour
36,great that will just put council tax up for everyone else to recover what they lose 😞  ,0,labour
37,Is that it? 😂😂😂😂😂😂  ,0,labour
38,"You really got the mood of the people with what’s going on today , this will make all the hard shift we’re going through worth while 🤦‍♂️  ",0,conservatives
39,"Are there really??? Funny, I work in the NHS and I haven’t seen any 🤷‍♂️ ",0,conservatives
40,Lol next Labour will be vowing to save Blockbusters! 🤣. Note Sadiq Khan meanwhile is killing off the highest of greater London with his expanded ULEZ. ,0,labour
41,"How does freezing it ""save"" drivers £100 a year? Surely it just means drivers are paying the same as they do now? 🤷🏼‍♂️ ",1,conservatives
42,Meanwhile...in Croydon the local labour party were asked by the central party to abstain from voting down our 15% rise so it passed. Thanks for that 👍🏻 ,0,labour
43,They are leaving so called England and emigrating to Spain who lives there now just as many English then Spanish but much harder now being out of eu unbelievably people are not realising this I would have been one of those if we had not come out of eu it’s now going to take me 5 years to become a resident 😂 ,1,conservatives
44,"Notice ZERO has been mentioned about dragging the millions of people out of the poverty Torys have created for them.
Working families should NOT need to use food banks or sit in the dark at night.
Maybe those people should be in your thoughts also! 🤷‍♀️
#votetory 😭🤦‍♀️💔 ",0,conservatives
45,"Not a single normal House Benefits from this scam, other than business and mansion Houses 🏘️ rich and richest people only, it's a joke.  ",0,conservatives
46,Is this a parady 😂 ,0,conservatives
47,Yes.. More police.. They've always been a supporter of the labour force 🙄 How about we support every other service that actually helps the public first and THEN find the funding for more police? ,0,labour
48,"Tim Jones ""arrival"" of spring 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️  ",0,labour
49,Good luck with that 🙄  ,0,labour
50,🇨🇿❤🇺🇦 ,2,conservatives
51,"Halving inflation is a given - Even by doing nothing. Inflation stops but prices will still be sky high.

Growing the economy - again you would have to try hard not to. It’s basically static now.

Reducing dept - who’s? Not the publics I bet.

Cutting waiting lists - how?

Stopping the boats - thrown in to keep the Little Britain’s happy 🤦🏻‍♂️ ",0,conservatives
52,"This would be more encouraging if you would say exactly how much you have delivered. To be more specific:

1. By how much have you reduced inflation?
2. By how much have you grown the economy?
3. By how much have you reduced debt?
4. By how much have you cut waiting lists?
5. How many boats have you stopped? By “stopped”, we mean stopped from entering the country. Stopped and then transported to a hotel in Britain doesn’t count.

With the local elections on the horizon, it would be useful if you would provide answers and evidence of delivery as soon as possible 👍  ",1,conservatives
53,🙏  ,2,conservatives
54,But not paying teachers in England the same pay offer as their counterparts in Wales and Scotland ☹️  ,0,conservatives
55,"Bring back apprenticeships
proper labour government apprenticeships
give the youth and up to 31 yrs a new opportunity. It can be done. Your skint for maybe 2 yrs out of your four ,but then you have just created a whole new workforce that labour has done in one term 😉 its a win win  ",2,labour
56,"Johnson wanted a high wage economy, Tories now complaining that nurses are wanting higher wages!🤦‍♀️ ",0,conservatives
57,Just remind everybody here who caused this food shortages in 1st place its not brexit and its not shortage off foreign workers now . Which government halved farm numbers in there term off government. What was Tony's words we will import our food from France and our wine from Italy and our farmers will be groundsmen keeping the fields green like a lawn or words to that effect 10s off thousands off farmers packed in from 1997 to 2010 we never had food issues or worker issues in 60s 70s 80s 90s as we had a workforce called farmers they grew the food and it didn't root in fields as it got done . But they are now long gone and not replaced and the generations off skills are gone . Good plan that was labour and Tony 👍👍👍. No the country is paying a high price for it . Lack off food and lack off farmers left and your using brexit and immigration from a 25 year ago policy off labour plan to import food rather than produce it .  ,0,labour
58,who else here watched Michael goves car crash interview with julia brewer. 😆 ,0,conservatives
59,Labour would do this and do the other if they get in REALLY 🤣🤣🤣  ,0,conservatives
60,"❗❗❗Be careful with your comments on this thread otherwise the demented, neo-McCarthyist
'unStarmerican activities committee' witch-hunt will be on to you.  ",0,labour
61,I’ve voted Labour my whole voting life. I’m 63 yrs old. This will be the first time I’ll not be. I refuse to vote for Tory mk2. I despise every one of you who destroyed the only alternative we’ve had in many years. You’re all despicable. #ItWasAScam #CorbynWasRight 😡🤢  ,0,labour
62,🇬🇧🇪🇺🌟  ,2,libdems
63,Getting desperate 🙂 Good luck in May ,0,conservatives
64,Now if you promise to end austerity and the creeping privatisation of the NHS…. ❤️🌹❤️  ,2,labour
65,Happy Easter! 🙏❤️😀  ,2,labour
66,"***************
***************
*
Watch all 5 episodes of Al Jazeera's #LabourFiles

Part 1 👇 The Purge
youtu.be/
elp18OvnNV0

Part 2 👇 The Crisis
youtu.be/
5DTMF0MSXng

Part 3 👇The Heirarchy
https://
www.youtube.com/
watch?v=P-cHBQf5
z_M

Part 4: 👇The Spying Game
https://
youtu.be/
db-Gpmfajp8

Part 5: 👇The Forde Response
https://
youtu.be/
tiODoWurA64

https://
youtu.be/
tdoVw2tWb0I

https://
braveneweurope.c
om/
jonathan-cook-ho
w-britains-labo
ur-party-became
-a-criminal-con
spiracy-against
-its-members?fb
clid=IwAR17ag9w
LXjkOH-duQQFE25
NslHikqbezuuK63
ngCpnVNuAeXzSxl
2YC1qsOo

https://northe xx vdd astbylines.co.u
k/
oh-jeremy-corbyn
-the-big-lie/? VVV vfbclid=IwAR06W
J6bfS7SVyc7ka8b
aFvfF1Me8JljZRe
PBukjoGbU1JGP4O
-NTQ3sk1o

https://
troovus.wordpres
s.com/2022/07/
19/forde-report/  ",1,labour
67,Happy New Year 🙏☮️ ,2,labour
68,And will it be cheaper for everyone I very much doubt it. Think we all have we all realise think it's going to be the norm now high heating costs. 🤔 ,1,labour
69,"Thurrock is my Borough
The council is bankrupt after a failed borrow to invest scheme left us with over £1B of debt.
The local Tories have control of the council and spent the last 2 years or so doing everything they could to stop anyone seeing the state the finances were in... all the while the debt kept piling up and up.
Credit to the local Labour Party and the local independents for calling for clarity and finally exposing the extent of the problem alongside the Bureau of investigation and local Journalist at Thurrock Nub News.

The 10% council tax rise is mostly to pay down the debt, services are also being cut etc while the taxpayer pays more.

Personally, I'm not opposed to a council tax rise as the area badly needs investment... that we will now being paying more for less is sickening.

Come May, I hope every Tory standing in Thurrock loses their seat... this will still sadly leave the Tories as the majority party here though 😔

Oh, and Starmer is a knobber... ",0,labour
70,Nottingham is getting so bad you need a WRC rally car just to get to the supermarket in one piece 🤣  ,0,labour
71,"We have to get a ""legal commitment"" to do their actual job....or else what..... they arrest themselves? 😁  ",0,libdems
72,I will be voting 🗳 with my photo ID. 🤗  ,2,labour
73,Happy Mother’s Day to mums everywhere xx❤️💐  ,2,conservatives
74,Saville ??? Didn’t do a lot of protecting there did you ! Or were you protecting Saville 🤔 ,0,labour
75,The doctors aren’t backing it!! 🤬  ,0,conservatives
76,What are we doing with these nurses ? that we keep using them up and need more 😂😂😂 ,0,conservatives
77,Basically targeting the lefties. Well done chaps. 💙❤️💙  ,2,conservatives
78,Unbelievable 13 yrs to put things in place and look where we are🙈🙈😡😡😡  ,0,conservatives
79,He should be on the stage! He is so hilarious 😂  ,0,labour
80,Fix all those things we broke 😂  ,0,conservatives
81,"Yikes. 🫣
A gaggle of reactionary 'blue rinsers' more like.
Nice moustaches though. 🤣👍#torymunters  ",0,conservatives
82,Time for INDEPENDENCE 🏴󠁧󠁢󠁳󠁣󠁴󠁿  ,1,labour
83,How are the polls looking? 😉😉 ,1,conservatives
84,"**********+++++
+**************
Watch all 5 episodes of Al Jazeera's #LabourFiles

Part 1 👇 The Purge
youtu.be/
elp18OvnNV0

Part 2 👇 The Crisis
youtu.be/
5DTMF0MSXng

Part 3 👇The Heirarchy
https://
www.youtube.com/
watch?v=P-cHBQf5
z_M

Part 4: 👇The Spying Game
https://
youtu.be/
db-Gpmfajp8

Part 5: 👇The Forde Response
https://
youtu.be/
tiODoWurA64

https://
youtu.be/
tdoVw2tWb0I

https://
braveneweurope.c
om/
jonathan-cook-ho
w-britains-labo
ur-party-became
-a-criminal-con
spiracy-against
-its-members?fb
clid=IwAR17ag9w
LXjkOH-uQQFE25N
slHikqbezuuK63n
gCpnVNuAXzSxl2Y
C1qsOo

https://
northeastbylines
.co.uk/
oh-jeremy-corbyn
-the-big-lie/
?fbclid=IwAR06WJ
6bfS7SVyc7ka8ba
FvfF1Me8JljZReP
BukjoGbU1JGP4O-
NTQ3sk1o

https://
troovus.wordpres
s.com/2022/07/
19/forde-report/

£100,000 from Lord Waheed Alli: a media mogul who was one of the biggest financial contributors to Liz Kendall’s 2015 campaign.

£100,000 from Robert Latham: a barrister who backed the anti-Semitism smears against Corbyn.

£95,000 from Martin Taylor: a retired Mayfair hedge fund manager who withdrew funding from the Labour Party after Corbyn was elected and channelled money into the formation of a Blairite grouping called Labour Together.
He also has £10million stake in United Health - A US private healthcare company, currently looking at £1bn worth of contracts from the NHS

£50,000 from Sir Trevor Chinn: a millionaire who donated to Kendall’s campaign and who is well known for supporting right wing pro-Israel government think tanks.

£50,000 from Lord Hollick of Notting Hill: a millionaire and current board member of leading arms manufacturer Honeywell International.

£25,000 from Martin Clarke: nicknamed ""the sledgehammer"" for his business attitude. Former Chief Financial Officer of roadside recovery giant AA and former executive at the private equity firm Permira. Also ex-Daily Mail publisher. Clarke is also a prominent Corbyn opponent and a close personal friend of Chuka Umunna.

£25,000 from Peter Coates: a Corbyn critic and multimillionair
e cofounder of Bet365. Peter’s multibillionair
e daughter, Denise Coates who is the CEO of Bet365, made headlines in 2018 for paying herself a record £265million. In the same year, the Coates’ were the 21st richest family in Britain with a £5.8billion fortune.

Source: https://
www.theyworkfory
ou.com/regmem/
?p=25353&fbclid=
IwAR1zfLUgsx74w
bhXQbC-k19-vrBV
Fk597EDlWXHGc4-
1EkUUY5_O07jlCY
Y ",1,labour
85,No Mowlam was very special. A good person. 💚 ,2,labour
86,"Will Labour do this really? Or will Labour just ban or exclude people with draughty homes? After all the latter would be so much cheaper wouldn't it? If people still insist on having drafty homes and won't be excluded or expelled, then Labour might at least seek to pass legislation to stop them boring others by debating their draughty homes? 🤷🏻‍♂️🤷🏽‍♂️🤷🏿‍♂️ ",0,labour
87,👏👏👏👏Conservatives. M  ,2,conservatives
88,CEOs of 💧 water companies earn millions per year to pollute and waste 🤦‍♀️ No other country has privatised water 💦 ,0,conservatives
89,Late to the issue again. It is almost like an election is due🤔.  ,0,conservatives
90,It really does show how too much money can cause a huge lack of common sense when it comes to voting!🤷‍♂️  ,0,labour
91,Is this just because they're low density suburban and rural areas with big houses so they need more council tax per house? 🧐 Whereas labour areas are high density metropolitan areas that make money off other stuff like parking charges and business rates so naturally need less? Which would mean that this is basically a non-point? ,1,labour
92,"I see an awful lot of spending, but no way to pay for it all. Any more printing of money will see a further collapse of the banking sector. SVB didn't just collapse because it was woke: it was playing a shell game with investor's money. 🤨 ",0,conservatives
93,"% clean energy by 2030 that is literally impossible, there isn’t the money or time. You do know that’s a little over 6 years to close all the old power stations and build new ones 😂😂😂😂
Great British Energy is planned by Eon a FRENCH company!
Again all this with what money, the last The Labour Party bankrupted the country and the Conservatives have further added to it.  ",0,labour
94,I’ve voted Labour my whole voting life. I’m 63 yrs old. This will be the first time I’ll not be. I refuse to vote for Tory mk2. I despise every one of you who destroyed the only alternative we’ve had in many years. You’re all despicable. #ItWasAScam #CorbynWasRight 😡🤢  ,0,labour
95,Cleaning up the rivers by letting the water companies pump sewage into them🤔 ,0,conservatives
96,👍  ,2,conservatives
97,"How about, FOR ONCE, JUST THIS ONCE, you do something for the working class people, those the labour Party was formed to serve.
Dentists, what a disgrace our country is. The country needs a viable dentistry network. All you do is say words, never action. 🤬 ",0,labour
98,Better services 🤣🤣  ,0,conservatives
99,"Get rid of KS and you may have a chance but don’t hold your breath. Politics has had its day the lying has taken its toll on the people, we have had enough of control through manipulation and lies it’s time for a new system ground up instead of top down. 👍 ",0,labour
